departementFabrication,nom,urlWikipedia,lait,image,typePate,vinAssocie
Yonne,Pérail,http://fr.wikipedia.org/wiki/P%C3%A9rail,Brebis,Perail.jpg,molle croute fleurie,vin rouge léger
Côte-d'Or,Pérassu,http://fr.wikipedia.org/wiki/P%C3%A9rassu,Vache,Perassu.jpg,persillée,vin blanc moelleux
Indre-et-Loire,Persillé de Tignes,http://fr.wikipedia.org/wiki/Persill%C3%A9_de_Tignes,Chèvre,Persille_de_Tignes.JPG,persillée,vin blanc moelleux
Gard,Persillé des Aravis,http://fr.wikipedia.org/wiki/Persill%C3%A9_des_Aravis,Chèvre,Persille_des_Aravis.jpg,persillée,vin blanc moelleux
Haute-Garonne,Persillé du col Bayard,http://fr.wikipedia.org/wiki/Persill%C3%A9_du_col_Bayard,Vache,Persille_du_Col_Bayard.jpg,persillée,vin blanc moelleux
Ain,Persillé du Malzieu,http://fr.wikipedia.org/wiki/Persill%C3%A9_du_Malzieu,Brebis,Persille_du_Malzieu.jpg,persillée,vin blanc moelleux
Aveyron,Persillé du Mont-Cenis,http://fr.wikipedia.org/wiki/Persill%C3%A9_du_Mont-Cenis,Chèvre,Persille_du_Mont_Cenis.JPG,persillée,vin blanc moelleux
Cantal,Pétafine,http://fr.wikipedia.org/wiki/P%C3%A9tafine,Chèvre,Petafine.jpg,fondue,vin blanc vif
Puy-de-Dôme,Petit Billy,http://fr.wikipedia.org/wiki/Petit_Billy,Chèvre,Petit_Billy.JPG,fondue,vin blanc vif
Haute-Marne,Petit Gaugry,http://fr.wikipedia.org/wiki/Petit_Gaugry,Vache,Petit_Gaugry.jpg,fraiche,vin blanc sec
Loire,Petit moka,http://fr.wikipedia.org/wiki/Petit_moka,Vache,Petit_Moka.png,préssée ,vin blanc sec
Ille-et-Vilaine,Pic du Vieux Chaillol,http://fr.wikipedia.org/wiki/Pic_du_Vieux_Chaillol_%28fromage%29,Vache,Pic_du_Vieux_Chaillol.jpg,molle croute fleurie,vin rouge léger
Morbihan,Picodon,http://fr.wikipedia.org/wiki/Picodon,Chèvre,Picodon.jpg,molle croute naturelle,vin rouge léger
Côte-d'Or,Picodon,http://fr.wikipedia.org/wiki/Picodon,Chèvre,Picodon.jpg,molle croute naturelle,vin rouge léger
Moselle,Picodon,http://fr.wikipedia.org/wiki/Picodon,Chèvre,Picodon.jpg,molle croute naturelle,vin rouge léger
Pyrénées-Atlantiques,Picodon,http://fr.wikipedia.org/wiki/Picodon,Chèvre,Picodon.jpg,molle croute naturelle,vin rouge léger
Savoie,Pithiviers au foin,http://fr.wikipedia.org/wiki/Pithiviers_au_foin,Vache,Pithiviers_au_Foin.jpg,molle croute fleurie,vin rouge léger
Yonne,Piton des Neiges,http://fr.wikipedia.org/wiki/Piton_des_Neiges_%28fromage%29,Vache,Piton_des_Neiges.jpg,préssée,vin blanc sec
Ardèche,Piton Maïdo,http://fr.wikipedia.org/wiki/Piton_Ma%C3%AFdo_%28fromage%29,Vache,Piton_Maido.JPG,préssée,vin blanc sec
Ain,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,Vache,Pont_lEveque.jpg,molle croute lavée,vin blanc moelleux
Allier,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,Vache,Pont_lEveque.jpg,molle croute lavée,vin blanc moelleux
Cantal,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,Vache,Pont_lEveque.jpg,molle croute lavée,vin blanc moelleux
Hautes-Pyrénées,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,Vache,Pont_lEveque.jpg,molle croute lavée,vin blanc moelleux
Haute-Loire,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,Vache,Pont_lEveque.jpg,molle croute lavée,vin blanc moelleux
Indre,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,Vache,Pont_lEveque.jpg,molle croute lavée,vin blanc moelleux
Loiret,Port-Salut,http://fr.wikipedia.org/wiki/Port-Salut_%28marque%29,Vache,Port_Salut.jpg,préssée non cuite,vin rouge charnu
Pyrénées-Atlantiques,Pouligny-saint-pierre,http://fr.wikipedia.org/wiki/Pouligny-saint-pierre_%28fromage%29,Chèvre,Pouligny_Saint_Pierre.jpg,molle croute naturelle,vin rouge léger
Rhône,Pourri bressan,http://fr.wikipedia.org/wiki/Pourri_bressan,Vache,Pourri_Bressan.JPG,fondue,vin blanc vif
Savoie,Raclette,http://fr.wikipedia.org/wiki/Raclette,Vache,Raclette.jpg,préssée non cuite,vin rouge charnu
Yonne,Ramequin,http://fr.wikipedia.org/wiki/Ramequin_%28fromage%29,Vache,Ramequin.jpg,préssée non cuite,vin rouge charnu
Aveyron,Rebarbe,http://fr.wikipedia.org/wiki/Rebarbe,Brebis,Rebarbe.jpg,fondue,vin blanc vif
Somme,Rebarbe,http://fr.wikipedia.org/wiki/Rebarbe,Brebis,Rebarbe.jpg,fondue,vin blanc vif
Lozère,Reblochon,http://fr.wikipedia.org/wiki/Reblochon,Vache,Reblochon.jpg,préssée non cuite,vin rouge charnu
Indre-et-Loire,Recuite,http://fr.wikipedia.org/wiki/Recuite,Brebis,Recuite.jpg,fraiche,vin blanc sec
Marne,Rigotte de Condrieu,http://fr.wikipedia.org/wiki/Rigotte_de_Condrieu,Chèvre,Rigotte_de_Condrieu.jpg,molle croute fleurie,vin rouge léger
Rhône,Rigotte de Condrieu,http://fr.wikipedia.org/wiki/Rigotte_de_Condrieu,Chèvre,Rigotte_de_Condrieu.jpg,molle croute fleurie,vin rouge léger
Lot,Rigotte de Pélussin,http://fr.wikipedia.org/wiki/Rigotte_de_P%C3%A9lussin,Chèvre,Rigottes_de_Pelussin.JPG,molle croute naturelle,vin rouge léger
Mayenne,Rocamadour,http://fr.wikipedia.org/wiki/Rocamadour_%28fromage%29,Chèvre,Rocamadour.jpg,molle croute fleurie,vin rouge léger
Ain,Rochebaron,http://fr.wikipedia.org/wiki/Rochebaron,Vache,Rochebaron.JPG,persillée,vin blanc moelleux
Nord,Rocroi,http://fr.wikipedia.org/wiki/Rocroi_%28fromage%29,Vache,Rocroi.jpeg,molle croute naturelle,vin rouge léger
Allier,Rogeret des Cévennes,http://fr.wikipedia.org/wiki/Rogeret_des_C%C3%A9vennes,Chèvre,Rogeret_des_Cevennes.png,molle croute naturelle,vin rouge léger
Ardèche,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,Vache,Rollot.jpg,molle croute lavée,vin blanc moelleux
Ariège,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,Vache,Rollot.jpg,molle croute lavée,vin blanc moelleux
Haute-Loire,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,Vache,Rollot.jpg,molle croute lavée,vin blanc moelleux
Haute-Loire,Roquefort,http://fr.wikipedia.org/wiki/Roquefort_%28fromage%29,Brebis,Roquefort.jpg,persillée,vin blanc moelleux
Jura,Roue de Ris,http://fr.wikipedia.org/wiki/Roue_de_Ris,Brebis,Roue_de_Ris.jpeg,persillée,vin blanc moelleux
Loire,Saint Agur,http://fr.wikipedia.org/wiki/Saint_Agur,Vache,Saint_Agur.jpg,persillée,vin blanc moelleux
Savoie,Saint Albray,http://fr.wikipedia.org/wiki/Saint_Albray,Vache,Saint_Albray.jpg,molle,vin blanc équilibré
Seine-et-Marne,Saint-félicien,http://fr.wikipedia.org/wiki/Saint-f%C3%A9licien_%28fromage_de_l%27Ard%C3%A8che%29,Vache,Saint_Felicien.jpg,molle croute fleurie,vin rouge léger
Yonne,Saint-florentin,http://fr.wikipedia.org/wiki/Saint-florentin_%28fromage%29,Vache,Saint_Florentin.jpg,molle croute lavée,vin blanc moelleux
Charente,Saint-gildas-des-bois,http://fr.wikipedia.org/wiki/Saint-gildas-des-bois_%28fromage%29,Vache,Saint_Gildas_des_Bois.png,molle croute fleurie,vin rouge léger
Aube,Saint-laurent,http://fr.wikipedia.org/wiki/Saint-laurent_%28fromage%29,Vache,Saint_Laurent.jpg,molle croute fleurie,vin rouge léger
Pas-de-Calais,Saint-nectaire,http://fr.wikipedia.org/wiki/Saint-nectaire_%28fromage%29,Vache,Saint_Nectaire.jpg,préssée non cuite,vin rouge charnu
Ain,Saint-nectaire,http://fr.wikipedia.org/wiki/Saint-nectaire_%28fromage%29,Vache,Saint_Nectaire.jpg,préssée non cuite,vin rouge charnu
Mayenne,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,Chèvre,Sainte_Maure_de_Touraine.jpg,molle croute naturelle,vin rouge léger
Mayenne,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,Chèvre,Sainte_Maure_de_Touraine.jpg,molle croute naturelle,vin rouge léger
Isère,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,Chèvre,Sainte_Maure_de_Touraine.jpg,molle croute naturelle,vin rouge léger
Aveyron,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,Chèvre,Sainte_Maure_de_Touraine.jpg,molle croute naturelle,vin rouge léger
Ariège,Salers,http://fr.wikipedia.org/wiki/Salers_%28fromage%29,Vache,Salers.jpg,préssée non cuite,vin rouge charnu
Corrèze,Santranges-sancerre,http://fr.wikipedia.org/wiki/Santranges-sancerre,Chèvre,Santranges_Sancerre.jpg,molle croute naturelle,vin rouge léger
Loir-et-Cher,Selles-sur-cher,http://fr.wikipedia.org/wiki/Selles-sur-cher_%28fromage%29,Chèvre,Selles_sur_Cher.jpg,molle croute naturelle,vin rouge léger
Loire,Société,http://fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_%28marque%29,Brebis,Societe.jpg,persillée,vin blanc moelleux
Marne,Soumaintrain,http://fr.wikipedia.org/wiki/Soumaintrain_%28fromage%29,Vache,Soumaintrain.jpg,molle croute lavée,vin blanc moelleux
Puy-de-Dôme,Soumaintrain,http://fr.wikipedia.org/wiki/Soumaintrain_%28fromage%29,Vache,Soumaintrain.jpg,molle croute lavée,vin blanc moelleux
Pyrénées-Atlantiques,St Môret,http://fr.wikipedia.org/wiki/St_M%C3%B4ret,Vache,St_Moret.jpeg,fraiche,vin blanc sec
Rhône,Suprême des Ducs,http://fr.wikipedia.org/wiki/Supr%C3%AAme_des_Ducs,Vache,Supreme_des_Ducs.jpg,molle croute fleurie,vin rouge léger
Vaucluse,T'chiot biloute,http://fr.wikipedia.org/wiki/T%27chiot_biloute,Vache,Tchiot_Biloute.jpg,molle croute lavée,vin blanc moelleux
Jura,Takamaka,http://fr.wikipedia.org/wiki/Takamaka_%28fromage%29,Chèvre,Takamaka.jpg,fraiche,vin blanc sec
Savoie,Tarare,http://fr.wikipedia.org/wiki/Tarare_%28fromage%29,Vache,Tarare.jpg,molle croute fleurie,vin rouge léger
Indre,Taupinette,http://fr.wikipedia.org/wiki/Taupinette,Chèvre,Taupinette.jpg,molle croute fleurie,vin rouge léger
Nord,Thollon,http://fr.wikipedia.org/wiki/Thollon,Vache,Thollon.jpg,persilée,vin blanc moelleux
Nord,Ti frais des Hauts,http://fr.wikipedia.org/wiki/Ti_frais_des_Hauts,Vache,Ti_Frais_des_Hauts.jpg,persilée,vin blanc moelleux
Pyrénées-Atlantiques,Tignard,http://fr.wikipedia.org/wiki/Tignard,Vache,Tignard.JPG,persilée,vin blanc moelleux
Savoie,Tome de Cambrai,http://fr.wikipedia.org/wiki/Tome_de_Cambrai,Vache,Tome_de_Cambrai.jpg,préssée non cuite,vin rouge charnu
Savoie,Tome de Rhuys,http://fr.wikipedia.org/wiki/Tome_de_Rhuys,Vache,Tome_de_Rhuys.jpg,préssée non cuite,vin rouge charnu
Saône-et-Loire,Tome des Bauges,http://fr.wikipedia.org/wiki/Tome_des_Bauges,Vache,Tome_des_Bauges.jpg,préssée non cuite,vin rouge charnu
Val-de-Marne,Tome du Champsaur,http://fr.wikipedia.org/wiki/Tome_du_Champsaur,Vache,Tome_de_Champsaur.jpg,molle croute fleurie,vin rouge léger
Haute-Garonne,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,Vache,Tome_Fraiche.jpg,fraiche,vin blanc sec
Lozère,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,Vache,Tome_Fraiche.jpg,fraiche,vin blanc sec
Savoie,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,Vache,Tome_Fraiche.jpg,fraiche,vin blanc sec
Doubs,Tomette de Brebis,http://fr.wikipedia.org/wiki/Tomette_de_Brebis,Brebis,Tommette_de_Brebis.png,préssée non cuite,vin rouge charnu
Jura,Tomme au foin,http://fr.wikipedia.org/wiki/Tomme_au_foin,Vache,Tomme_au_Foin.jpg,préssée non cuite,vin rouge charnu
Seine-et-Marne,Tomme blanche,http://fr.wikipedia.org/wiki/Tomme_blanche,Vache,Tomme_Blanche.jpg,molle,vin blanc équilibré
Orne,Tomme crayeuse,http://fr.wikipedia.org/wiki/Tomme_crayeuse,Vache,Tomme_Crayeuse.jpg,préssée non cuite,vin rouge charnu
Pyrénées-Atlantiques,Tomme de Gorze,http://fr.wikipedia.org/wiki/Tomme_de_Gorze,Vache,Tomme_de_Gorze.jpg,préssée ,vin blanc sec
Ariège,Tomme de Montagne,http://fr.wikipedia.org/wiki/Tomme_de_Montagne,Vache,Tomme_de_Montagne.png,préssée non cuite,vin rouge charnu
Territoire de Belfort,Tomme de Savoie,http://fr.wikipedia.org/wiki/Tomme_de_Savoie,Vache,Tomme_de_Savoie.jpg,préssée non cuite,vin rouge charnu
Côte-d'Or,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Vache,Tomme_des_Pyrenees.jpg,préssée non cuite,vin rouge charnu
Savoie,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Vache,Tomme_des_Pyrenees.jpg,préssée non cuite,vin rouge charnu
Mayenne,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Vache,Tomme_des_Pyrenees.jpg,préssée non cuite,vin rouge charnu
Saône-et-Loire,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Vache,Tomme_des_Pyrenees.jpg,préssée non cuite,vin rouge charnu
Loir-et-Cher,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Vache,Tomme_des_Pyrenees.jpg,préssée non cuite,vin rouge charnu
Pyrénées-Atlantiques,Tomme forte de Savoie,http://fr.wikipedia.org/wiki/Tomme_forte_de_Savoie,Vache,Tomme_forte_de_Savoie.jpg,fondue,vin blanc vif
Cher,Tournon-saint-pierre,http://fr.wikipedia.org/wiki/Tournon-saint-pierre_%28fromage%29,Chèvre,Tournon_Saint_Pierre.jpg,molle croute naturelle,vin rouge léger
Corrèze,Tourrée de l'Aubier,http://fr.wikipedia.org/wiki/Tourr%C3%A9e_de_l%27Aubier,Vache,Touree_de_lAubier.jpg,molle croute fleurie,vin rouge léger
Drôme,Tracle,http://fr.wikipedia.org/wiki/Tracle,Vache,Tracle.jpg,fondue,vin blanc vif
Hautes-Alpes,Trappe Échourgnac,http://fr.wikipedia.org/wiki/Trappe_%C3%89chourgnac,Vache,Trappe_Echourgnac.jpg,préssée non cuite,vin rouge charnu
Nord,Trappiste de Belval,http://fr.wikipedia.org/wiki/Trappiste_de_Belval,Vache,Trappiste_de_Belval.jpg,préssée non cuite,vin rouge charnu
Pas-de-Calais,Trappiste de Campénéac,http://fr.wikipedia.org/wiki/Trappiste_de_Camp%C3%A9n%C3%A9ac,Vache,Trappiste_de_Campeneac.jpg,préssée non cuite,vin rouge charnu
Réunion,Trappiste de Laval,http://fr.wikipedia.org/wiki/Trappiste_de_Laval,Vache,Trappiste_de_Laval.jpg,molle croute lavée,vin blanc moelleux
Savoie,Tricorne de Marans,http://fr.wikipedia.org/wiki/Tricorne_de_Marans,Brebis,Tricorne_de_Marans.jpg,molle,vin blanc équilibré
Oise,Truffe de Ventadour,http://fr.wikipedia.org/wiki/Truffe_de_Ventadour,Chèvre,Truffe_de_Ventadour.jpg,molle croute naturelle,vin rouge léger
Pyrénées-Atlantiques,Vacherin des Bauges,http://fr.wikipedia.org/wiki/Vacherin_des_Bauges,Vache,Vacherin_des_Bauges.jpg,molle croute lavée,vin blanc moelleux
Haute-Marne,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,Chèvre,Valencay.jpg,molle croute fleurie,vin rouge léger
Cantal,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,Chèvre,Valencay.jpg,molle croute fleurie,vin rouge léger
Savoie,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,Chèvre,Valencay.jpg,molle croute fleurie,vin rouge léger
Aveyron,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,Chèvre,Valencay.jpg,molle croute fleurie,vin rouge léger
Rhône,Vieux Boulogne,http://fr.wikipedia.org/wiki/Vieux_Boulogne,Vaches,Vieux_Boulogne.jpg,molle,vin blanc équilibré
Indre,Vieux pané,http://fr.wikipedia.org/wiki/Vieux_pan%C3%A9,Vache,Vieux_Pane.jpg,préssée non cuite,vin rouge charnu
Ain,Vieux Samer,http://fr.wikipedia.org/wiki/Vieux_Samer,Vache,Vieux_Samer.jpg,molle croute lavée,vin blanc moelleux
Aveyron,Voves cendré,http://fr.wikipedia.org/wiki/Voves_cendr%C3%A9,Vache,Voves_Cendre.jpg,molle croute naturelle,vin rouge léger